font_name,capitals,cursive,display,italic,monospace,serif,angular,artistic,attention-grabbing,attractive,bad,boring,calm,charming,clumsy,complex,delicate,disorderly,dramatic,formal,fresh,friendly,gentle,graceful,happy,legible,modern,playful,pretentious,sharp,sloppy,soft,strong,technical,thin,warm,wide
ABeeZee italic,-0.0,0.01849965965928623,0.45189567677541054,0.005050591418819151,0.25207799916133555,0.2733830595517389,0.21458637773637884,0.38952048250623156,0.7690170017536099,0.4712219246953269,0.6395389277033541,0.7537020913722783,0.3589552079317422,0.4954491568299734,0.5805788282605415,0.6671870204909783,0.09978479656983069,0.5047010094872112,0.6119366543774437,0.3123320095221937,0.5673336361184861,0.33898143767748606,0.5140161642888115,0.33473204416174535,0.24794240126209544,0.5132105497651366,0.42095090303749666,0.4637554336978972,0.585323477815358,0.39767374568650377,0.27098792596001814,0.2585507782515003,0.7828719928516935,0.6242240728408988,0.0964871301095709,0.7618144309746278,0.7700033173552698
ABeeZee regular,-0.0,0.012181057025387014,0.33225669624656445,0.7368918118061912,-0.0,0.46899132346677563,0.7155077253774336,0.7721166967875508,0.6231728371388919,0.6716325212730552,0.3988244838155213,0.38966764696724865,0.6044945996982666,0.7352829894806922,0.5390078775288366,0.7336284893709384,0.4606226998780086,0.5054310478056334,0.8282077473731888,0.416447920449492,0.841621625309948,0.6930548574909638,0.7889745511538383,0.6633422263592252,0.5749234789967594,0.542482349916243,0.7121034713811024,0.6977942309418584,0.6523261277446994,0.5884239545397509,0.5635717923168166,0.617208062107655,0.5865751258480489,0.6561402249597951,0.3795655969997168,0.7227441700313312,0.463397692287653
Abel regular,-0.0,0.2815339055244358,0.3595793374594173,0.9955259461588125,-0.0,0.501040852050174,0.7381853171407352,0.753432873258508,0.7987761741172459,0.7373958999125327,0.40320797417002163,0.3854888187245007,0.5836927381353728,0.7692610674573453,0.5465313613220003,0.7907688423158212,0.4119146729474313,0.5383104448454715,0.8520265701782971,0.4993145846203789,0.8381145484059843,0.7225476310727882,0.8158724927137284,0.779173790133115,0.6597351111187137,0.6539395370654655,0.7278892488627897,0.6584847947782133,0.7525706440662505,0.5562498474640744,0.6725429679077473,0.5563123349477342,0.6803937347441762,0.6087819620333548,0.2387122279847006,0.8120584914870226,0.6083959801645457
Abhaya Libre 500,-0.0,0.2463344761708348,0.3956827589463248,0.49846923445001856,-0.0,0.05895954717844757,0.6282826198672996,0.6629028558815635,0.5047144888925984,0.5517225488771399,0.4601764483253926,0.4366847929464677,0.6999533038569468,0.7134935762102621,0.493247701865975,0.634436963211489,0.4800326556264703,0.47642872638237727,0.6535185363178719,0.40100856972085547,0.8056488585166214,0.7095610644932457,0.8014263842374116,0.5928071545625087,0.5314323563460783,0.6082084933754024,0.6621076774932226,0.6014018386307682,0.4813248733084127,0.5961150434634723,0.5773718076951416,0.774667193028746,0.4118796355841768,0.4883179091987336,0.544134359800876,0.48221391331842217,0.375640369825062
Abhaya Libre 600,-0.0,0.47574298218820804,0.608506151459071,0.49852760836647125,-0.0,0.07270225788647003,0.7185722785676224,0.7796776005870601,0.4963795181424719,0.6172385841541694,0.41234416686343095,0.26209325187671434,0.7461392661409835,0.7943466640965771,0.5321285187192152,0.6707060684920649,0.5816870042944443,0.5503686772719363,0.7134849841407149,0.4026890534997483,0.7917201817375787,0.7858019014046902,0.8585278485845887,0.7265255973970783,0.649340255625855,0.5075622555067907,0.6961525016711505,0.706632586042672,0.523443324325595,0.6551695478183642,0.6369403183497696,0.906300200288198,0.2566712370889598,0.6188530464745742,0.7043298835439475,0.514660494626113,0.33889498658558503
Abhaya Libre 700,-0.0,0.4606045548899688,0.6141374754819977,0.4973288446447828,-0.0,0.07363678058305206,0.7195759966315269,0.779447932645849,0.4966610820580351,0.6135445360820467,0.41177658409074974,0.26202022847981177,0.7461449460772837,0.7918685022579023,0.5322186319581996,0.6670659333685163,0.578893666798754,0.5488028521494905,0.7137900133885835,0.3989334198409448,0.7938025158009882,0.7859069646251463,0.8569332466266264,0.7244820285032995,0.6475908718788992,0.5131696349164118,0.6933982438929855,0.7078980458109538,0.5224767693490084,0.6556073539178973,0.6384225897788175,0.9041583732495619,0.2603732463031302,0.6207208399019557,0.7016144029213551,0.5159463507520724,0.3402727086698995
Abhaya Libre 800,-0.0,0.704672250726044,0.6555739809074714,0.7645247970025697,-0.0,0.052982555312507396,0.746276511099805,0.7413910582570066,0.5218576483245263,0.7119403718571562,0.36418691290914007,0.2055115283144304,0.7597947055037225,0.832200768549892,0.4967905387651775,0.6672525589739253,0.6134371530233583,0.5294886088894722,0.7333469402696942,0.5233019884297994,0.7988645970017377,0.823181889519438,0.8777487710786349,0.7853411543152278,0.7434497176708811,0.49947359638064703,0.7233699544186541,0.7195669038920464,0.562923054307241,0.6459947883063167,0.6569299946096283,0.9343389858946931,0.2639593084622768,0.5503367763961838,0.7337401166741742,0.586378205602996,0.3388936341247808
Abhaya Libre regular,-0.0,0.011219445508031233,0.3827153360595457,0.25640805056077776,-0.0,0.05796986887658068,0.5849579232690634,0.6412240292253996,0.5082638360584826,0.4918688631281781,0.4856614286344372,0.5354566192748557,0.6481843789226528,0.6630184249026034,0.4969237635193512,0.6386287780236203,0.4244105663103125,0.4598674122908183,0.6913244234156353,0.34441046039589895,0.8033879260432915,0.6210007778719321,0.7500337401032489,0.45959320976933643,0.45908844846407254,0.5816075094107086,0.6124030644343329,0.5891557140038085,0.4379245039406515,0.5328888478640346,0.5201114175650116,0.6671625078044514,0.5137126909966668,0.535812712055879,0.4329322740009554,0.5097134414901576,0.41019120507289175
Abril Fatface regular,-0.0,0.5129345267851178,0.8106644375256814,0.7585905252201921,-0.0,0.049875461810162024,0.7317514870149531,0.7261736073258034,0.6177438289194204,0.7225864978032258,0.4104210007845231,0.33852465394048664,0.7034623553169231,0.7610449619131338,0.5001594528404846,0.6800011309678498,0.48169398487662524,0.6081909031516133,0.7659644096160988,0.48698447400991085,0.8208232690605874,0.7725482683101605,0.8014777930247471,0.7401480179739198,0.7237467684024411,0.5275159039938004,0.6679836298513123,0.7541814719608426,0.5879223206426757,0.5338475903470977,0.6483401370248825,0.7845621427306757,0.4110325133099462,0.5711926336745772,0.5860567629360721,0.656923379533426,0.4292941733905968
Actor regular,-0.0,0.5077673621538441,0.5569282273854228,0.9953494668230453,-0.0,0.44436912699251474,0.7289848898851465,0.8625082331008926,0.7633723120940259,0.7722239493277763,0.3813295687291664,0.34224815608902526,0.5800105737807449,0.8476136385657779,0.6127275908789508,0.8614458107126545,0.4740363166052812,0.5484856166373167,0.8801088116443092,0.512125781078568,0.8440273709719166,0.7568059563638052,0.819106192061127,0.8150871395524069,0.6558184513502925,0.5774548530477972,0.7723615439097535,0.7390498571679582,0.8105545688836703,0.5605296509337863,0.7063372153903581,0.627207089338183,0.6073424229162595,0.6900183819185245,0.3211671903076785,0.8165025589597384,0.5239373873643357
