font_name,capitals,cursive,display,italic,monospace,serif,angular,artistic,attention-grabbing,attractive,bad,boring,calm,charming,clumsy,complex,delicate,disorderly,dramatic,formal,fresh,friendly,gentle,graceful,happy,legible,modern,playful,pretentious,sharp,sloppy,soft,strong,technical,thin,warm,wide
ABeeZee italic,0.0,0.010922960838578884,0.19431776518790903,0.9960921269637303,0.0,0.05549221622239797,0.5289588286851681,0.3302977087749486,0.4047689044052345,0.561451992295649,0.2432073514401952,0.385864230064857,0.8645491890873558,0.592939457407748,0.23554583439109844,0.24625166498224735,0.474257775911741,0.2635701444531302,0.4205736362761526,0.7376645068440816,0.9209197445098798,0.8154326663567445,0.9220472143229709,0.7188104622208797,0.6127252865937494,0.8349695505316863,0.43041012935218737,0.3406266886018451,0.32520029655623445,0.7914231662646561,0.5034488838987596,0.8481440450834051,0.45771148158528574,0.31889633095401954,0.6055359873684439,0.5982615837764442,0.4681551689403247
ABeeZee regular,0.0,0.011429273688091431,0.04118213208979604,0.005386854724084221,0.0,0.0530714265192415,0.17613404868004642,0.11564145265626086,0.37582209454675036,0.479983230947704,0.19439216007862223,0.4842714060203628,0.8762051072302108,0.5067249816595019,0.10234136001883581,0.11841616145225549,0.41469991810388,0.1375393828459179,0.21448199276242505,0.8556562910510516,0.922144691328459,0.7397677434132556,0.9049116533792829,0.5551121852303071,0.4116604751126214,0.9033777202063293,0.25201544138562304,0.1588493381714855,0.24262576192282204,0.6900741547857417,0.17387745329627222,0.8002975742543252,0.46733346523074853,0.19474385740183742,0.5216217737250942,0.5181628424354039,0.5109310822809271
Abel regular,0.0,0.01142927368809143,0.02230512240203736,0.00522894144179091,0.0,0.05412598824450102,0.26218368122597285,0.22044685579608614,0.15261373352392182,0.24746471494271557,0.31252908002254004,0.783201332582325,0.9565491766054001,0.33717458713109244,0.24928851881037492,0.17740924730321816,0.46107203278755654,0.24700073621063273,0.20401917549499204,0.7779627042579169,0.7899816214699825,0.6586329996889111,0.9038565242538606,0.4544612456037438,0.32521843307788206,0.7309824565483557,0.34419853288135915,0.20186283339556796,0.1287801143154873,0.7174172304622767,0.28222524098069274,0.9464717149732804,0.2610583664349203,0.255149194645518,0.853143795315835,0.22289673920675288,0.32322969274843194
Abhaya Libre 500,0.0,0.010691901192085537,0.027351859224266195,0.005442851687939216,0.0,0.9899899535214978,0.345959876904194,0.2299423128243372,0.30990888824540075,0.45606464933366697,0.08653114873373471,0.4654714960753862,0.8749233630956921,0.5581785211322352,0.03222378286821388,0.1836669247713373,0.4879137171395913,0.12119655144503452,0.2166966891035978,0.9001807563436761,0.934259872341254,0.7416371043817538,0.965459130098959,0.666493410959012,0.4704826152207356,0.9024733580225148,0.3519901386712899,0.18170720989950925,0.2647809631342771,0.8915482865088877,0.17356847657689053,0.8526417892614678,0.44682439909414334,0.37506878260386883,0.620323425246006,0.44203644456795366,0.46371096770212966
Abhaya Libre 600,0.0,0.01062229658466001,0.045366252664047646,0.005441453758608316,0.0,0.9675145676678204,0.38234462754726506,0.23863692840711276,0.3308473444331254,0.5031763995124067,0.10673428623900413,0.35549588631903234,0.8780905437198528,0.5559404951436732,0.04974254677903066,0.2244462982496112,0.43623582040494285,0.10359785299648297,0.27456709764484794,0.9406617077818971,0.9634568934601195,0.7562788862087327,0.967601613653622,0.6648219898535395,0.4873014866407676,0.9087752315949614,0.3895635418496649,0.21337546682338204,0.26739665809724883,0.8900105565755316,0.19316558956324914,0.8336969882178487,0.46748779061196194,0.4241361654213026,0.5856339096078869,0.5150633598088787,0.4675599694347153
Abhaya Libre 700,0.0,0.01044936648257634,0.020052333592880275,0.0054132082280765,0.0,0.9874707346122856,0.4097360270249059,0.2894562823315189,0.46942065930121296,0.604314911572814,0.12257839780151401,0.3554633948274996,0.7943700203167351,0.5791685651416182,0.11464460289216749,0.3120611086098885,0.36841032151391445,0.10316800987352022,0.35442629384058094,0.9009560572065002,0.9577888465526507,0.7453583083221225,0.9446722253823716,0.6903184590810999,0.48885242926679134,0.9326108255079941,0.44736255181611984,0.2748355825740668,0.4291184454262344,0.8255513567458251,0.19174416780553658,0.7195483622413534,0.5814856686136524,0.4742109454359188,0.4446746109503987,0.6163111378519808,0.5195693424019265
Abhaya Libre 800,0.0,0.010691901192085537,0.028912253621770877,0.005470750520368651,0.0,0.9946344440891643,0.361865521790693,0.31771328627292844,0.5941338100022122,0.7406664205517312,0.18844835809084037,0.34702745762851384,0.672927787707429,0.6288682286816426,0.20321709807620053,0.3838285955659505,0.3314478218734881,0.14153665492075004,0.45937504878855634,0.8149883782084009,0.9404811295386698,0.7380882314934755,0.9264227548896952,0.7154906088672796,0.4964645608017447,0.9224058535183345,0.5144322061149291,0.2866260177496486,0.5671691923507972,0.7486284377435423,0.19731921303880862,0.5835518260152723,0.6990257142299797,0.5404502212916223,0.2854918915779407,0.7590345288932616,0.5641827710394107
Abhaya Libre regular,0.0,0.010691901192085539,0.026649018718636272,0.005444856900795706,0.0,0.9902226204850425,0.34244621334434927,0.2329987231470385,0.3085819284859691,0.45419432698423334,0.08638824381504302,0.47022953557686753,0.8753802376067951,0.5561040130779931,0.03224507360114972,0.1851841197033593,0.4911651571928366,0.12180758813169293,0.21723095290094901,0.8986354633181561,0.9326140126172882,0.7422076206743488,0.9656852760645583,0.663054799939757,0.46944222137184494,0.899759313934351,0.3515610194963252,0.18338141810844924,0.2634480805357632,0.8896381434439552,0.17522980944846958,0.8548182200469985,0.44394711187861996,0.3713700987599991,0.6239128107594158,0.43912352794607923,0.4621858386508014
Abril Fatface regular,0.0,0.013154261461170762,0.04787485513491389,0.005513317349614975,0.0,0.9649805456077849,0.3656657924283153,0.3526407741525467,0.6401407099286178,0.7622439952755133,0.24657189993376577,0.37140310090163753,0.6374442390845222,0.6197825403053822,0.2376634378456693,0.4666551091246932,0.31102820219912936,0.1817733061431691,0.5198207666483603,0.772446361931485,0.9165847778939092,0.721356493348553,0.9029887285967654,0.717974348557311,0.48747668957799756,0.8762238790519568,0.566142674236418,0.3241816139933238,0.5742604251114579,0.6672921120021357,0.19370869906485041,0.51268152635932,0.7148575092687693,0.6020583265868101,0.269072169915054,0.756966397294405,0.5854342521111872
Actor regular,0.0,0.011429273688091433,0.039851649629680866,0.005388994450499134,0.0,0.053075533502053164,0.17503156159013328,0.11310258389882781,0.37556379046786986,0.4808133740138792,0.1934949762067469,0.4880754194936438,0.8741500421010893,0.5050847832930377,0.10147881450108102,0.11883812375729261,0.4129925078887162,0.13521460943004074,0.2150456564698953,0.852446612613255,0.9210352031042449,0.7413201689716774,0.9043869654920093,0.5558160132165698,0.413094656792209,0.90137256494855,0.2513898643931206,0.15584766109362158,0.24269605404177994,0.6938863856553594,0.17257389272064327,0.8011748169330564,0.46718155943687567,0.19745245163595565,0.5209374679090444,0.5141702156643749,0.5091295911194695
