font_name,capitals,cursive,display,italic,monospace,serif,angular,artistic,attention-grabbing,attractive,bad,boring,calm,charming,clumsy,complex,delicate,disorderly,dramatic,formal,fresh,friendly,gentle,graceful,happy,legible,modern,playful,pretentious,sharp,sloppy,soft,strong,technical,thin,warm,wide
Signika Negative regular,0.0,0.011429273688091435,0.04212939499289594,0.005274763623162469,0.0,0.046240091202742924,0.2064214225330465,0.2153048467619866,0.4475799529721778,0.4913817016759182,0.2345743588388281,0.5164793905107986,0.8050681063008555,0.6227549277786935,0.16538707749684575,0.19277472967524772,0.40934123775606146,0.17781212076054334,0.3086360259916114,0.7986460444569302,0.8789839253573669,0.7278167267226743,0.8806588278081349,0.5914867570991327,0.40991461460986695,0.8717965680255517,0.32857578554136657,0.22931963631772664,0.2964445894688118,0.662676582634307,0.2034201888941592,0.7447388399838023,0.519088190991402,0.29322042765049494,0.45861325998274205,0.6279007201691477,0.47503202670761774
Signika regular,0.0,0.011609531615154461,0.03932170113280264,0.005247429547349588,0.09778391683412457,0.04673197354116848,0.24470072356413983,0.2649548664938924,0.4890407907744482,0.4988516544916662,0.2511960797586511,0.551918863087633,0.7648664993305684,0.6202759150803542,0.2186299742472643,0.2470821942809331,0.40605200169067807,0.21613963209660936,0.37447400149977905,0.762803335484194,0.8749711415015439,0.7103827431154127,0.8583682599226055,0.5883071762419801,0.39328619635368706,0.8350621090851098,0.4031091508312536,0.28969949931461314,0.34701577315778487,0.6021143479041421,0.2292088870366771,0.6925852938031732,0.5538043497456961,0.3475895808334302,0.40270981363567354,0.6574136036541263,0.46254097410885253
Simonetta 900italic,0.0,0.014700337607737264,0.15726357355422138,0.5270491546562094,0.0,0.9492004796032729,0.582455126002204,0.6399679035285528,0.6830986727601545,0.8374964988962994,0.24005066771097264,0.22951969591086946,0.6848181704868578,0.8450417629065679,0.34615918041832167,0.601993691014613,0.43265259825660823,0.3128482661428326,0.6795217863108984,0.6877718365833647,0.9145578428169324,0.793194978417318,0.8497045046993,0.7910721004127304,0.6909244749207789,0.8113035220125946,0.7039413693080313,0.5563207825752748,0.6294626330824477,0.6549399725952287,0.45120170013344335,0.6424743773553466,0.6648141466612421,0.6050534215380584,0.2991793998989488,0.888356979856922,0.4877475183220079
Simonetta italic,0.0,0.03232712502685391,0.1396832284080524,0.5024154922911709,0.0,0.9394448656644463,0.6517244113285496,0.6428368329386253,0.4881728863699387,0.6503808466342728,0.20764509549289106,0.2634825760164188,0.829444424553703,0.8184878408993013,0.2704100253707859,0.5219806890180977,0.5975402252896278,0.31734608162623557,0.5919592987638105,0.681841040640395,0.8942207729353034,0.8274109490519184,0.9384842435443776,0.7210328272670735,0.6706554480252409,0.7972398783196241,0.6174188877205883,0.5743528568442328,0.4548092985528283,0.8378226920364849,0.4875684206806953,0.8379398282966862,0.4180875609993066,0.6091375765369139,0.6545692433796475,0.6317428566259126,0.44435813737208146
Simonetta regular,0.0,0.012539989605106388,0.1067107798214427,0.004913166425944514,0.0,0.9582462088492029,0.3530283801889519,0.33603013516974595,0.3203319213386172,0.4766221910254704,0.14076414492323633,0.4605673566717765,0.8731872376282137,0.6413164455125075,0.09717042138129753,0.268670975967544,0.48977613708643336,0.16465935408520627,0.29543321472583156,0.8510752300294744,0.9119935728819346,0.7814547099742964,0.9592800649590654,0.602979555177852,0.46780903543351926,0.8397112419872138,0.3899206022671436,0.2584653113605668,0.24537916582685088,0.8251031820175163,0.24017115182518364,0.8613308064946066,0.4021166792617125,0.37704170491226074,0.6553149244903197,0.5676771059408954,0.45184773948535034
Sintony 700,0.0,0.01142927368809143,0.0322207291309116,0.005387250277860447,0.0,0.04894899413400643,0.22460773255858368,0.1913203163521016,0.5355852355789952,0.5748350692897706,0.18403516704558925,0.4876799698339939,0.7466629495093409,0.6007450215947646,0.20130375071575277,0.22292865302570214,0.32815355024441883,0.16875522896952155,0.32810482193637464,0.7936917812471782,0.915046435571719,0.7614271240528688,0.8686581856945202,0.6166973795369074,0.4386068755535929,0.8979198078978247,0.3863490333514578,0.22964399570997118,0.4121709682497231,0.6207594128216299,0.15656942822929854,0.6443099483228663,0.6494224646529442,0.3008775617282309,0.33466765602410453,0.7031972593520106,0.5081188228952851
Sintony regular,0.0,0.011429273688091431,0.037491312698116105,0.00544867911627312,0.0,0.051221727172438114,0.24235804695063876,0.1388581333132756,0.2791594470298714,0.37715147086624906,0.21998310843093094,0.5806863229899984,0.8925314062899065,0.5680059362729939,0.12746424256088443,0.10894125210700525,0.42435007678388176,0.17547496296785378,0.21032625589220424,0.7946490768217328,0.8752224795957128,0.7055003466114736,0.8932823078435561,0.5087017280313643,0.3572827891841418,0.8590386434960023,0.22397779457218722,0.1406459954550357,0.21827407965273113,0.7259408312658037,0.1714352182496164,0.8440797359659719,0.4078364804772133,0.15732546633988737,0.6285597772748787,0.507378083298241,0.5054847065881443
Sirin Stencil regular,0.0,0.012859820951789199,0.15970684946976718,0.005345200200319408,0.0,0.052222112983224545,0.3875051658753141,0.33185687614649007,0.3540700295775705,0.4169888496443639,0.3703497981503682,0.6874261539693829,0.8134831755500369,0.5606020601007372,0.3144132991490085,0.3546471739069309,0.4433390404291215,0.3161642544503708,0.39828320882475476,0.6627646163847972,0.8034397157764582,0.6578323204994834,0.8333539933423056,0.51659350593142,0.3561954574469006,0.6105634892142667,0.42283386133386663,0.3437160398956621,0.29283667900248367,0.6359831434844864,0.28432681248086544,0.7746789561905575,0.4364187465913255,0.4181743897269213,0.6048490484071614,0.48888744036296766,0.3270258044040065
Six Caps regular,0.11532811919698038,0.019070312425591,0.3636203881897738,0.005596019505086357,0.12985586437558116,0.17348769895014565,0.3843554495110316,0.44472536911124344,0.48651549973071945,0.35109819403087794,0.6932459891551114,0.8769438729707061,0.5508938492578288,0.4959337535505277,0.6002054727782142,0.6328576440521809,0.2994350792552998,0.521885558854046,0.519853456106164,0.31984493838444406,0.49645748785575394,0.3820471654185092,0.6530266253365511,0.34070309024779327,0.22906911480528042,0.36854746023649065,0.4055772005906462,0.4407473255528296,0.44787856134693,0.4281564329139504,0.3779811040383551,0.5070099421287836,0.49750364544586656,0.46114607431419596,0.43339678518111996,0.5132531561604499,0.48410537931159986
Skranji 700,0.0,0.008775948070922135,0.12161793306257138,0.1549198864335758,0.0,0.559195539159131,0.33785221541951127,0.4198610173830543,0.6275622401711438,0.6859878142262427,0.3144484186847894,0.49487441563038104,0.5812711212858075,0.6462886182259975,0.36807931416606915,0.45743542256657815,0.2653715417070462,0.28199388809224935,0.5307343064128933,0.6650779882071169,0.8640702270697521,0.6658206908635242,0.8152030541635391,0.5955885774635091,0.4528829678481149,0.8059225012612358,0.4643509836835305,0.3510044642372348,0.5259510253605942,0.5931618514174554,0.27256286216353304,0.5317107666521305,0.7561829420115376,0.5148152226168147,0.21809240155212947,0.796903035677348,0.5784426417044062
