font_name,capitals,cursive,display,italic,monospace,serif,angular,artistic,attention-grabbing,attractive,bad,boring,calm,charming,clumsy,complex,delicate,disorderly,dramatic,formal,fresh,friendly,gentle,graceful,happy,legible,modern,playful,pretentious,sharp,sloppy,soft,strong,technical,thin,warm,wide
ABeeZee italic,0.0,0.018434312400147475,0.44694533762057875,0.005052327679538072,0.25,0.27183789677732006,0.2142,0.37188320209973746,0.7693,0.47049197095223483,0.6401507276507277,0.75465,0.3588076422926878,0.346076523994812,0.57935,0.6648819473464271,0.09865,0.5016250000000001,0.6106005907449951,0.3153175716289321,0.5822651763740772,0.339425,0.51555,0.32591689525551154,0.2638874193207068,0.5150482968988307,0.415925,0.4595,0.585725,0.39944999999999997,0.270225,0.25377500000000003,0.786328125,0.6246999999999999,0.0962899312575819,0.7229173908006025,0.7709
ABeeZee regular,0.0,0.01219737003809758,0.3271085827355924,0.7482557440153976,0.0,0.46768233583716984,0.7171000000000001,0.7890693350831146,0.626275,0.6765367699703386,0.39394490644490643,0.385,0.6054566369910974,0.6617704280155643,0.538925,0.7370716673631426,0.46257499999999996,0.50585,0.8287659993436167,0.41955519935884594,0.8646175143560296,0.69685,0.79,0.6672254393985574,0.6136916728388531,0.5459074733096085,0.7145500000000001,0.699925,0.658625,0.5908,0.565375,0.6190249999999999,0.5868489583333333,0.6549,0.37874039627982203,0.6819024446761672,0.4646
Abel regular,0.0,0.2579574781860637,0.3416707890180559,0.995609286659449,0.0,0.49170099345771745,0.7379249999999999,0.758284120734908,0.79215,0.7365756366983738,0.3994022869022869,0.381525,0.5872261678503551,0.6998378728923478,0.5401,0.7839009611366485,0.4154,0.53505,0.8467071436385516,0.4974704468042477,0.8612079573420838,0.724525,0.8149500000000001,0.7762369196383216,0.6957729340810496,0.656176919166243,0.7278,0.65675,0.7492,0.563625,0.668975,0.55995,0.6786458333333333,0.606475,0.24418722199757378,0.7816301703163017,0.6042000000000001
Abhaya Libre 500,0.0,0.25829544058006637,0.41234850358644576,0.5029772645254422,0.0,0.0601223649139811,0.64135,0.6841644794400699,0.505025,0.5534417510483789,0.46036902286902287,0.4266,0.7005101530459138,0.6334630350194552,0.49922500000000003,0.6395998746343503,0.48495,0.4843,0.6606498194945849,0.395261470647165,0.8254973338802297,0.713225,0.80235,0.592832469775475,0.5692783832398688,0.6043467208947636,0.66855,0.61215,0.48597499999999993,0.598075,0.5858249999999999,0.781075,0.4017708333333333,0.49437500000000006,0.5545390214314598,0.3980998725524273,0.3711
Abhaya Libre 600,0.0,0.48642005653189135,0.6160648033638387,0.5040298327920125,0.0,0.0725708747274049,0.7262249999999999,0.805090769903762,0.4989,0.6197197504346936,0.41476091476091476,0.25889999999999996,0.7433480044013203,0.7352788586251622,0.5362,0.6765043877977434,0.58245,0.5561250000000001,0.7189311891477956,0.3990933680625126,0.81214109926169,0.786825,0.857375,0.7245504419384334,0.6911437943074806,0.5067869852567362,0.70265,0.713175,0.52845,0.653625,0.6412249999999999,0.90605,0.25361979166666665,0.6173,0.7064547108774768,0.4361893175761789,0.336575
Abhaya Libre 700,0.0,0.4864200565318914,0.6160648033638387,0.5040298327920125,0.0,0.0725708747274049,0.7262249999999999,0.805090769903762,0.4989,0.6197197504346936,0.41476091476091476,0.25889999999999996,0.7433480044013203,0.7352788586251623,0.5362,0.6765043877977434,0.58245,0.556125,0.7189311891477956,0.39909336806251255,0.81214109926169,0.786825,0.857375,0.7245504419384334,0.6911437943074806,0.5067869852567362,0.70265,0.713175,0.52845,0.653625,0.641225,0.90605,0.25361979166666665,0.6173,0.7064547108774768,0.4361893175761789,0.336575
Abhaya Libre 800,0.0,0.7253287452378027,0.6505070492208755,0.7502706604114039,0.0,0.05270172037799854,0.751225,0.77001312335958,0.5219749999999999,0.7133323105247008,0.3726091476091476,0.207,0.755001500450135,0.7861543450064852,0.5044500000000001,0.6813100710405349,0.6166499999999999,0.541425,0.7373372716333005,0.5152774994990984,0.8150123051681707,0.821,0.877775,0.7832215787869552,0.7857634112792297,0.4888662938485002,0.734025,0.7239500000000001,0.567275,0.6443000000000001,0.6573,0.93535,0.25255208333333334,0.551,0.7388293570562072,0.508284092225698,0.33335000000000004
Abhaya Libre regular,0.0,0.011152759002089223,0.38446079643828845,0.2546313003729099,0.0,0.058941119457232856,0.586925,0.6491961942257217,0.5082,0.4912038457604583,0.4856288981288981,0.532625,0.6494698409522857,0.5641699092088198,0.49892499999999995,0.6389469285415796,0.42537499999999995,0.4611,0.6918827261787551,0.3416900420757364,0.8237541017227236,0.6224000000000001,0.750275,0.4544600223509092,0.4870648608612845,0.5823335027961363,0.6130500000000001,0.59095,0.438575,0.5343,0.52265,0.669675,0.51109375,0.5377500000000001,0.4353012535382127,0.431091414668057,0.40959999999999996
Abril Fatface regular,0.0,0.4931485805579452,0.8102893890675241,0.7486466979429809,0.0,0.050036346014053795,0.72405,0.7314905949256343,0.6182749999999999,0.7189066175718523,0.41270790020790016,0.34914999999999996,0.7026607982394718,0.6828145265888457,0.497,0.6767655662348517,0.474975,0.6088,0.7611311672683515,0.48599979963935086,0.8421349466776047,0.768925,0.799775,0.7340749771411155,0.7573801714104327,0.5283172343670565,0.660775,0.7495749999999999,0.584075,0.531325,0.64235,0.7774249999999999,0.41765624999999995,0.574525,0.5783714112414072,0.6019290928050052,0.43379999999999996
Actor regular,0.0,0.49717340543197736,0.5500865693791739,0.9953085528690004,0.0,0.49145868669735887,0.7170000000000001,0.8745625546806648,0.7722,0.7622992738058709,0.39664760914760916,0.36335000000000006,0.5707462238671601,0.7856355382619976,0.621575,0.8603478896782282,0.45785,0.55295,0.8797177551690187,0.5042075736325387,0.8598748974569319,0.7457999999999999,0.8140499999999999,0.8050391140912323,0.6781557507142101,0.5765887137773259,0.7722,0.7312749999999999,0.8079000000000001,0.5484,0.7014,0.60415,0.6249479166666666,0.68345,0.2989536999595633,0.794345962229174,0.5407
