ARSMaquetteWebOne,2100,1840,4968,5150,0.964660194,6478,7000,0.925428571,843,9154,5042.673077,5150,8960,6673.076923,0.118067227,1.424478178,0.77003523,70,275,5000,6850,4990,1.220254717,1.346153846,15412,56752.85496,32330.67039,3426,56752.85496,24500.0337,11986,56752.85496,28590.1937,0.048595499,2.739059332,1.821237906,0.006283185,0.030682996,0.017969712,1.094915829,2.693982376,2.04548346,2537332.052,11582168.74,6578126.552,0.122165044,0.499997284,0.210566553,843,902,921,971.8813674,878.0516786,1.106861237,2.475426247,2.328672219,1.713560255,1.877784578,2.966797895,1.615011642,1.514656405,5.56033045,1.874523415,2.917466235,1.753549727,5.262659726,1.574455011,0.598710945,1.347115159,0.423355335,1.397769127,3.153890186,0.733991053,1.547675878,0.238738787,3.308243397,3.141591766,5020594.468,-1.570797215,188114.2945
Acme-Regular,2663,2196,4513,5169,0.873089572,5731,7058,0.811986398,1216,8895,4496.923077,5046,9536,6677.980769,0.158024691,1.394499018,0.690991458,165,167,5602,7491,5423,1.230611461,1.365384615,16153.80367,52564.9352,28759.86628,4601.930075,52564.9352,21507.96177,12105.26388,52564.9352,25892.50129,0.026707835,2.763678428,1.781543163,0.006283186,0.037229332,0.017757359,1.147337319,2.677902108,2.048973354,3898354.323,14355652.27,7768935.008,0.175698442,0.491133542,0.269574918,1216,1280,1280,1363.306499,1150.508711,1.184959736,2.435751184,2.399930576,1.514514615,2.250137046,2.820251082,1.226131912,1.839281508,5.679717368,1.901571789,2.925247143,1.151274922,5.74821294,1.338505817,0.752882538,1.585340954,0.506144582,1.192140622,3.503476647,0.588925863,1.2781751,0.332667287,3.245685468,3.134065311,5075788.803,-1.578323669,365925.934
AdventPro-SemiBold,2176,2112,4243,4992,0.849959936,5511,6976,0.789994266,899,6949,3873.019231,4992,9216,6649.846154,0.128870413,1.341361465,0.600486622,1198,1040,4984,6968,4796,1.1504168,1.346153846,14982.71844,49249.58936,28242.28239,3200.718435,49249.58936,21507.31169,11782,49249.58936,25097.29379,0.034207086,2.753703931,1.787694033,0.006283185,0.027265288,0.017291538,1.070705621,2.609793153,1.944333206,2647284.085,11976149.57,6181142.518,0.160377101,0.49999711,0.250658099,899,899,899,899,930.3232552,0.966330783,2.275273282,2.238407865,1.363435312,1.071934829,3.147108178,1.172356978,1.357024506,6.857771424,0.968447473,3.145483173,1.212198287,6.760580168,1.451829234,0.259460793,1.386768478,0.160779949,1.422913696,4.010025887,0.264251372,1.235564909,0.163967827,3.968382733,-3.09110765,5352805.754,-1.520311323,249319.3117
Aldrich,2048,2112,5114,5184,0.986496914,6265,6976,0.898079128,960,9190,5059.576923,5184,9344,6646.153846,0.133928571,1.479166667,0.778903974,542,541,2804.273438,4596.273438,2484.273438,1.071977369,1.346153846,16000,53639.36044,33177.50769,4224,53639.36044,25267.05284,12304,53639.36044,29353.81385,1.497229295,3.089840787,2.083011519,0.006283185,0.030893799,0.017690463,1.099952203,2.139942111,1.744067982,3049165.828,12571547.07,7682879.581,0.131972862,0.5,0.244544493,960,1024,1024,1024,1024,1,1.866041237,2.292933007,0.883830892,0.493616109,4.888832007,0.436290059,0.675156298,7.027108141,0.359938702,5.160971029,0.324883192,6.805713897,1.387861373,0.483831027,1.703153848,0.536353751,0.950183687,3.564047928,0.514072059,1.497843971,0.534760609,3.151836625,0,5098694.855,1.570796327,240019.8599
Alegreya-BoldItalic,2752,2432,5248,4864,1.078947368,7168,6560,1.092682927,2354,9408,5317.461538,4800,9856,6504.192308,0.314369658,1.486842105,0.838983171,-576,-448,7050,8746,6476,1.497838047,1.384615385,18284.42818,56666.17274,32169.75407,4095.13554,56666.17274,23869.6234,13974.47345,56666.17274,28950.72078,0.033550903,2.317833002,1.508693421,0.01257895,0.045586579,0.026584342,1.888046175,2.671810201,2.295270293,4074082.878,14905472.79,7972728.06,0.120107259,0.292422744,0.234432247,1258.511172,1373.039586,1311.31447,1574.674554,983.2029133,1.601576372,2.490828889,2.496523299,6.684122069,2.1930659,2.533713238,0.958617784,1.239065043,6.516896266,2.589613425,1.976345936,1.1815749,1.183325764,2.757809452,0.990187497,1.740226275,0.32317375,1.389567629,2.754562627,1.378807544,1.114447838,0.45532652,1.419835745,2.991947387,5777467.104,-1.720441593,753519.9457
AllertaStencil-Regular,2496,2496,5154,5504,0.936409884,5427,7225,0.751141869,1216,9238,4872.538462,5504,10234,7022.5,0.168304498,1.380747126,0.710858031,1366,1493,5558.203125,7279.203125,5046.203125,1.065623932,2.038461538,16882,61885.01523,33106.50852,4423.683174,33599.6716,15588.27847,9223.769139,33599.6716,19823.89147,1.310135792,2.76195077,1.896784227,0.006289475,0.037511346,0.020322057,1.192517519,2.631143338,2.011768709,4010623.406,14781519.19,7802855.144,0.149694967,0.499995303,0.236902416,1216,1216,1216,1235.89968,970.4977887,1.273469857,2.317264897,2.25102367,1.537564811,1.279518694,2.552361693,1.2860572,1.779869116,6.669328448,1.150513984,2.683071261,1.300366734,6.817688384,1.457691999,0.33269437,1.638529612,0.29306017,1.237737956,3.757119283,0.359777794,1.401194384,0.272333385,3.573805926,-3.141592389,5609000.724,-1.570796063,334497.9213
Amethysta-Regular,2624,2624,5631,4992,1.128004808,7059,7168,0.984793527,2014,10223,5520.615385,4992,9792,6915.615385,0.205678105,1.7515625,0.822309937,169,-542,5454.070313,7630.070313,5006.070313,1.229483796,1.365384615,20015.51943,64579.81765,36097.45717,3835.069694,64579.81765,27599.41508,15990.18045,64579.81765,32364.89449,0.023063374,2.517763849,1.61299589,0.01257895,0.044175225,0.024947707,1.686544862,2.680966858,2.216822301,3419060.982,11290136.86,6430241.315,0.111591335,0.225126438,0.173811283,897,951,917,1059.868035,599.641675,1.767502291,2.477405499,2.502990776,1.382728533,1.952460243,3.538773273,1.541704984,1.548262409,5.189756225,1.449543407,3.724777359,1.675540166,5.052793727,1.313652792,0.619225842,1.977287483,0.522146106,1.03976928,3.075999852,0.743435202,1.56004663,0.751466234,2.720915456,-3.13489026,7005421.009,-1.564093933,494621.0534
Andada-Bold,2816,2388,5504,5122,1.074580242,6894,7219,0.954979914,2369,10180,5670.5,5014,9738,6897.615385,0.243273773,1.727626459,0.848150815,18,256,5971,8068,5736,1.259347262,1.384615385,19804.54824,60769.70671,34696.83917,4380.612409,60769.70671,25540.7973,16367.5324,60769.70671,30966.97977,0.76094971,2.619822991,1.841142398,0.01257895,0.048609204,0.026754635,1.528174693,2.617706102,2.159369279,5186541.366,18125991.47,10133638.56,0.192897019,0.34055486,0.264857384,1408,1587,1472,1802.387573,1005.992395,1.79165129,2.411056803,2.30592613,2.318846339,1.471645038,4.105634134,1.121217248,2.239201987,4.675647588,1.290198806,4.323713007,0.989050191,4.521185988,1.684960159,0.391823857,2.42707146,0.259656749,1.18179794,2.962120428,0.396601692,2.278988858,0.189574407,2.551349326,-3.140372921,6926806.798,-1.569576594,982610.2045
Andada-Italic,2731,2807,4972,5219,0.952672926,7358,7104,1.035754505,2097,9814,5324.057692,5153,10048,6959.25,0.266319533,1.44986554,0.784499476,-424,-116,6086,7971,5337,1.81677022,1.346153846,18911.46595,63331.58841,34979.0628,3911.101151,63331.58841,26596.05524,14691.82284,63331.58841,31116.41722,0.507680761,2.809492453,1.927089651,0.01257895,0.041981178,0.025100723,1.53190754,2.65653568,2.194231295,3170880.288,12173219.41,6455559.687,0.082250596,0.235720926,0.179589977,878.9771532,1016.228069,929.093808,1162.510643,677.2139299,1.716607694,2.416898806,2.405020663,6.885691247,1.952263993,2.675107828,0.823246866,0.847244373,7.294650946,1.899892617,2.568392766,0.88059044,1.229259251,3.067331564,0.953368379,1.922837057,0.313583032,0.477498285,3.455691929,1.158679849,1.735031037,0.234000781,1.005922966,2.990898532,6841550.456,-1.721490449,517201.9749
AndadaSC-Bold,1792,2231,5280,5456,0.967741935,6894,7089,0.972492594,2432,10180,5650.096154,5376,9399,6433.211538,0.33679558,1.466567608,0.887149253,18,64,6101,7734,7782,0.369231012,1.307692308,17074.79358,60190.49804,33769.19556,4240.54401,60190.49804,26431.56766,17074.79358,60190.49804,30415.13585,0.807349139,2.794831507,1.738473654,0.01257895,0.045049812,0.027071033,1.520671001,2.622992968,2.087393019,4642861.431,17847675.6,9749303.683,0.192913422,0.353793794,0.272286451,1472,1536,1472,1802.577935,1007.427273,1.789288401,2.362981338,2.194732131,2.283452844,0.652882572,4.465841502,1.151372104,2.14824124,4.844603183,1.05263072,4.348195889,1.160736596,4.948383677,1.437659824,0.140059536,2.690497585,0.181575239,1.200461606,3.024910956,0.224523176,2.403951775,0.152882741,2.86742244,-3.140432549,6713175.303,-1.569636223,962483.1314
