font_name,capitals,cursive,display,italic,monospace,serif,angular,artistic,attention-grabbing,attractive,bad,boring,calm,charming,clumsy,complex,delicate,disorderly,dramatic,formal,fresh,friendly,gentle,graceful,happy,legible,modern,playful,pretentious,sharp,sloppy,soft,strong,technical,thin,warm,wide
Mrs Saint Delafield regular,0.08689548650845799,0.849216083589946,0.6580342988256067,0.8224432274593407,0.023500850878678883,0.20112860968603935,0.8385835160058184,0.8991649539447266,0.4700338531689559,0.6362890380134919,0.6103931253218147,0.34545019720326603,0.6257348481322379,0.7859460079751877,0.6814681049019992,0.8609277121736654,0.6243160319878486,0.6763107663619963,0.8309532171788716,0.344569184235892,0.6647087486045655,0.6670356710232402,0.7868663027581608,0.694023586094359,0.5960590614271587,0.30899222980643903,0.7851086692973355,0.7297782430795142,0.5827463831137402,0.6022796833547137,0.7869469744357459,0.8090243665992178,0.16572903488314927,0.6852778986477966,0.7602438052118321,0.5100816700944948,0.3283059285389879
Mrs Sheppards regular,0.032624644612215065,0.7720628559157765,0.7569652731877815,0.6881517819908929,0.04556525591905802,0.02019466137917676,0.7277460873841185,0.8108731944520504,0.5619058440976159,0.6660784621426767,0.5789909596504017,0.3782351823615869,0.5694656056216347,0.7876609459994675,0.7395353025149449,0.8009448055975694,0.5255627706489199,0.6419943999361346,0.8740795648938419,0.3710444988663174,0.7167002972343801,0.6991859386323391,0.7552726185710192,0.6897518738535215,0.6221216788787108,0.35684561450517915,0.7002114306148745,0.7231372131328312,0.6067245733212758,0.48933492827319564,0.7561476967474048,0.7451782182302388,0.34794888124782813,0.5408097579136035,0.5608968343873031,0.6279741148644674,0.42200237804103047
Mukta Vaani 200,0.052840475926782426,0.02207537590746357,0.10618491433649906,-0.062445560615491794,0.021839050767900187,0.10205503249779951,0.36597598491454275,0.19065279677154634,0.17803140763878075,0.24648678720965567,0.28524911440961803,0.6965470499027956,0.9005621841296574,0.4983305962893515,0.206403737874669,0.15401651829100835,0.4596139955262912,0.2315331656905485,0.27138339601029654,0.7399039111505168,0.7834556764068163,0.6466482242209137,0.8849362696233916,0.433507990508524,0.3298364391572562,0.739055306502219,0.3121622635039663,0.19598006444024274,0.16234617872139764,0.7183134892446935,0.23792077494074185,0.9194432347421229,0.24818237555259387,0.19721381290317302,0.8314284596469281,0.3819090251126475,0.40361742881270635
Mukta Vaani 300,0.04954840065901416,0.003053584088466315,0.07290450157766644,-0.07346534438282368,0.02003139760070503,0.10669150359003945,0.24808466145528543,0.08608866504717413,0.22960684959443325,0.3577417350617511,0.19660071936893705,0.6021206114779812,0.8981705466308583,0.5303113336011858,0.12007768338127024,0.08668987957504605,0.44429333158285544,0.15900703210347977,0.2103236123445999,0.8045576525214497,0.8411668928649612,0.7134522304672349,0.8982094462881307,0.5158129408051273,0.3495000369593663,0.8420906376865229,0.2606901962323081,0.15708688640005997,0.174078327893832,0.7440067294026496,0.1867364850424764,0.8790165184695493,0.36078839830442533,0.12564369606609624,0.6878520276166835,0.4567269396399357,0.43863861959403033
Mukta Vaani 500,0.05416046868258726,-0.021777536983528425,0.0437714600260868,-0.03864568147047693,0.043963181679459985,0.10211941391630314,0.1939357308048952,0.14191480087150704,0.4139978777468218,0.5121535737432417,0.16922013128972987,0.48042644479840513,0.8067859815806456,0.5925350725299158,0.13831079119062656,0.16976364131197963,0.3705784971842289,0.1390955529482689,0.3101525744106387,0.8179233026806425,0.8596264863317151,0.7296207620291717,0.863562292616044,0.5933121643885972,0.42878648573927747,0.8835596516993898,0.33939226570799075,0.21542031277353907,0.3097505841102808,0.6921017509077656,0.16807622277902584,0.7302030283677761,0.5410887257235267,0.2276090752683975,0.4587014032079487,0.6342461708860948,0.4780863728092865
Mukta Vaani 600,0.052596440073139177,0.005803141770330049,0.05113464365772552,-0.03598042705494201,0.03736225220008698,0.07809483645901422,0.18337562224518444,0.16233960398498684,0.48651526476796914,0.5422595371939216,0.19299073403201,0.47314141650631963,0.7532495061241367,0.5964987931714735,0.17966877585416885,0.2174467930855873,0.3350248559024432,0.15116413253312988,0.33072562251350734,0.7864943694155175,0.8548747963392932,0.7189192055323403,0.836727592219224,0.5932126888220141,0.43426622864255776,0.8791373991689895,0.35959322416887596,0.22943300662255486,0.36374644153872604,0.6492889826866786,0.16093884416585885,0.6585449578769724,0.6057411453155601,0.24728289978330867,0.3853097260122582,0.6906595369242188,0.4918540462427008
Mukta Vaani 700,0.052307062261641106,0.001914539653985108,0.05287301539057733,-0.010618377965393014,0.03594538698420542,0.10832141974813578,0.178431836444952,0.1942541172391071,0.5269691259108766,0.5757125951586968,0.21645500979607474,0.4458467879302099,0.7145619063781029,0.6046738680728455,0.1949114297564048,0.2531350343807542,0.31097276123732165,0.1610106174737166,0.367050143202033,0.7755578217509007,0.8537893215428137,0.7024204530309655,0.8282096866427424,0.5867430902796429,0.43993637703921556,0.8714070995422483,0.376227085712499,0.23022949507166812,0.4078492690172511,0.6314096537814162,0.15224817684414563,0.6119220323175878,0.6513155574621581,0.30184191491584333,0.31861066454560505,0.7344157781548188,0.5169539283613193
Mukta Vaani 800,0.04294789356564715,0.005564325320737324,0.05033033832573741,-0.03686332435846054,0.03979115926354076,0.12295254219262379,0.179328429435146,0.19506514962838217,0.5471209944241158,0.5780137625920889,0.22129819411896054,0.4495137294264995,0.6909360649570819,0.6035123619472507,0.23132422672945827,0.27279028095284497,0.2983880853378096,0.1622247120368978,0.37795157575119975,0.7603958609279382,0.8409818388772176,0.6948369610173653,0.8161609176041461,0.5920712919851455,0.42980415319020016,0.8754525070460376,0.3684962045142792,0.23383730116583112,0.43364331488046637,0.6181385805058375,0.13771207480637865,0.5754759045595172,0.6858424917180573,0.3156313835091772,0.2829417530517587,0.7584894775077468,0.5188516555662677
